name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"Sportschau","DE","World Cup 2026","German","ok","OK","1362","200","www.sportschau.de","acde9b7d31b45ffa","2026-09-11T02:36:16.164Z"
"Sportsnet","CA","World Cup 2026","English","ok","OK","77","200","www.sportsnet.ca","af20adb8b515dd5d","2026-09-11T02:36:14.014Z"
"Sporza","BE","World Cup 2026","Dutch","ok","OK","770","200","sporza.be","ec1e8ad4f7817fb8","2026-09-11T02:36:07.011Z"
"SPOTV NOW Korea","KR","Public Sports","Korean","ok","OK","1051","200","www.spotvnow.co.kr","e997c98f1d75e223","2026-09-11T02:37:19.745Z"
"SRF","CH","World Cup 2026","German","ok","OK","449","200","www.srf.ch","2e3333e3454a9a6a","2026-09-11T02:36:14.015Z"
"SRF Sport","CH","Public Sports","German","ok","OK","316","200","www.srf.ch","d60f4084b227ca9e","2026-09-11T02:37:16.363Z"
"Stadium Astro","MY","Public Sports","Malay","ok","OK","295","200","www.stadiumastro.com","ab5ba9ecd5c476a1","2026-09-11T02:37:33.969Z"
"SuperSport","NG","World Cup 2026","English","ok","OK","327","200","supersport.com","f79a15dc90e890bf","2026-09-11T02:36:36.031Z"
"SVT","SE","World Cup 2026","Swedish","ok","OK","1235","200","www.svt.se","3ead9f041d81c7d5","2026-09-11T02:36:43.128Z"
"SVT Sport","SE","Public Sports","Swedish","ok","OK","757","200","www.svt.se","9d0c6dc679408dc6","2026-09-11T02:37:23.110Z"
"TapGO / Tap Sports","PH","World Cup 2026","English","ok","OK","465","200","www.tapgo.tv","5d44106fc9f63ecc","2026-09-11T02:36:40.509Z"
"Telemundo","US","World Cup 2026","Spanish","ok","OK","51","200","www.telemundo.com","87bf509f37ae539a","2026-09-11T02:36:52.462Z"
"Teletica","CR","World Cup 2026","Spanish","ok","OK","96","200","www.teletica.com","1ee3ea3b6040846c","2026-09-11T02:36:16.161Z"
"Televisa","MX","World Cup 2026","Spanish","ok","OK","296","200","www.televisa.com","3fa651d2f5e29628","2026-09-11T02:36:34.396Z"
"Tencent Sports","CN","Public Sports","Chinese","ok","OK","1143","200","sports.qq.com","306bbccaa9a23c3d","2026-09-11T02:37:31.612Z"
"TF1","FR","World Cup 2026","French","ok","OK","670","200","www.tf1.fr","f64efec7a2df3b6d","2026-09-11T02:36:17.529Z"
"Thairath Sport","TH","Public Sports","Thai","ok","OK","292","200","www.thairath.co.th","ae9bc5a1c5f1b3d3","2026-09-11T02:37:40.969Z"
"TRT","TR","World Cup 2026","Turkish","ok","OK","1126","200","www.trt.com.tr","a3e579dc2e0e1359","2026-09-11T02:36:50.131Z"
"TRT Spor","TR","Public Sports","Turkish","ok","OK","739","200","www.trtspor.com.tr","72acc9263ddc7077","2026-09-11T02:37:31.608Z"
"TrueID Sports","TH","Public Sports","Thai","ok","OK","499","200","sport.trueid.net","105e5d841d51015c","2026-09-11T02:37:40.970Z"
"TSN","CA","World Cup 2026","English","ok","OK","634","200","www.tsn.ca","6f5a14d25f012c41","2026-09-11T02:36:07.015Z"
"Tubi Sports","US","Public Sports","English","ok","OK","1678","200","tubitv.com","5abd5d762137e414","2026-09-11T02:36:59.467Z"
"TUDN","MX","World Cup 2026","Spanish","ok","OK","331","200","www.tudn.com","3be3f64246367037","2026-09-11T02:36:34.396Z"
"TV 2 Norway","NO","World Cup 2026","Norwegian","ok","OK","422","200","www.tv2.no","42b9cfc01dc10b49","2026-09-11T02:36:40.506Z"
"TV 2 Sport Denmark","DK","Public Sports","Danish","ok","OK","539","200","sport.tv2.dk","be80c8755f1086f0","2026-09-11T02:37:24.607Z"
"TV 2 Sport Norway","NO","Public Sports","Norwegian","ok","OK","1566","200","www.tv2.no","b6a0c51d872992cd","2026-09-11T02:37:24.606Z"
"TV Azteca","MX","World Cup 2026","Spanish","ok","OK","123","200","www.tvazteca.com","1bb11ef3e26e1950","2026-09-11T02:36:36.028Z"
"TV Azteca Deportes","MX","Public Sports","Spanish","ok","OK","148","200","www.tvazteca.com","1bb11ef3e26e1950","2026-09-11T02:37:03.787Z"
"TV Globo","BR","World Cup 2026","Portuguese","ok","OK","1278","200","globoplay.globo.com","189907129b78551a","2026-09-11T02:36:07.013Z"
"TV Pública","AR","World Cup 2026","Spanish","ok","OK","1259","200","www.tvpublica.com.ar","6e527913d39e51dc","2026-09-11T02:36:04.908Z"
"TV4 Sport","SE","Public Sports","Swedish","ok","OK","528","200","www.tv4.se","a13f17a4f190f27e","2026-09-11T02:37:23.110Z"
"TVP","PL","World Cup 2026","Polish","ok","OK","1561","200","sport.tvp.pl","daef039bb511e8f7","2026-09-11T02:36:40.509Z"
"TVP Sport","PL","Public Sports","Polish","ok","OK","871","200","sport.tvp.pl","daef039bb511e8f7","2026-09-11T02:37:24.608Z"
"TyC Sports","AR","World Cup 2026","Spanish","ok","OK","447","200","www.tycsports.com","ac614c91a228ad47","2026-09-11T02:36:04.905Z"
"Vidio Sports","ID","Public Sports","Indonesian","ok","OK","1147","200","www.vidio.com","805cbd9ea3427517","2026-09-11T02:37:33.969Z"
"Vix","MX","World Cup 2026","Spanish","ok","OK","506","200","vix.com","0e49ca2889288bed","2026-09-11T02:36:36.029Z"
"VTV","VN","World Cup 2026","Vietnamese","ok","OK","1184","200","vtv.vn","839fbf5178cb5559","2026-09-11T02:36:52.464Z"
"Wide World of Sports","AU","Public Sports","English","ok","OK","598","200","wwos.nine.com.au","32896d4f86c87d34","2026-09-11T02:37:19.741Z"
"Xsport+","UA","World Cup 2026","Ukrainian","ok","OK","1602","200","xsport.ua","bbc280f2f2d1ef33","2026-09-11T02:36:50.131Z"
"Yle","FI","World Cup 2026","Finnish","ok","OK","495","200","yle.fi","3facb60a86cb7a19","2026-09-11T02:36:17.529Z"
"Yle Urheilu","FI","Public Sports","Finnish","ok","OK","143","200","yle.fi","6a9ff74b0a2b5869","2026-09-11T02:37:24.607Z"
"ZDF","DE","World Cup 2026","German","ok","OK","1127","200","www.zdf.de","afbf35c11e259aa2","2026-09-11T02:36:16.163Z"
"ZDF Sport","DE","Public Sports","German","ok","OK","1632","200","www.zdf.de","5a20c37ea81fd015","2026-09-11T02:37:11.604Z"
"Ziggo Sport","NL","World Cup 2026","Dutch","ok","OK","941","200","www.ziggosport.nl","3ee62f28a568d53f","2026-09-11T02:36:36.032Z"
"Africa Magic","NG","World Cup 2026","English","warn","WARN_SLOW","4475","200","www.dstv.com","3e14244f7df02f00","2026-09-11T02:36:36.031Z"
"beIN SPORTS MENA","QA","World Cup 2026","Arabic / English","warn","WARN_SLOW","2615","200","www.beinsports.com","c454c9dfd2d12c24","2026-09-11T02:36:40.510Z"
"Movistar Plus+","ES","World Cup 2026","Spanish","warn","WARN_SLOW","2857","200","www.movistarplus.es","5e53005b4fe1538a","2026-09-11T02:36:17.529Z"
"MTVA","HU","World Cup 2026","Hungarian","warn","WARN_SLOW","3858","200","www.mediaklikk.hu","4d86534aae8532e6","2026-09-11T02:36:20.390Z"
"Red Bull TV","GLOBAL","Public Sports","English","warn","WARN_SLOW","4317","200","www.redbull.com","46b113766e41c056","2026-09-11T02:36:59.466Z"
"ServusTV Sport","AT","Public Sports","German","warn","WARN_SLOW","3376","200","www.servustv.com","94c00373f3a51072","2026-09-11T02:37:16.365Z"
"AS","ES","Public Sports","Spanish","fail","FAIL_HTTP","158","403","as.com","a42d0b3d7774044e","2026-09-11T02:37:13.239Z"
"Canal 4","UY","World Cup 2026","Spanish","fail","FAIL_HTTP","276","403","www.canal4.com.uy","498dfeb6593e134d","2026-09-11T02:36:52.463Z"
"Canal+ Sport","FR","Public Sports","French","fail","FAIL_HTTP","178","403","www.canalplus.com","a531ffb958695b00","2026-09-11T02:37:11.604Z"
"Caracol Deportes","CO","Public Sports","Spanish","fail","FAIL_HTTP","650","404","www.caracoltv.com","26609c04f3b63497","2026-09-11T02:37:23.109Z"
"Cazé TV","BR","World Cup 2026","Portuguese","fail","FAIL_TLS","","","www.cazetv.com.br","9cda32b543abfbca","2026-09-11T02:36:07.013Z"
"DAZN Italia","IT","Public Sports","Italian","fail","FAIL_HTTP","15","403","www.dazn.com","83b1de10b3b58b2a","2026-09-11T02:37:15.132Z"
"DAZN Italy","IT","World Cup 2026","Italian","fail","FAIL_HTTP","27","403","www.dazn.com","83b1de10b3b58b2a","2026-09-11T02:36:34.392Z"
"DAZN Japan","JP","World Cup 2026","Japanese","fail","FAIL_HTTP","96","403","www.dazn.com","261c096f6d8c353c","2026-09-11T02:36:34.394Z"
"detikSport","ID","Public Sports","Indonesian","fail","FAIL_TIMEOUT","","","sport.detik.com","5d3b52708edd8837","2026-09-11T02:37:33.970Z"
"Ecuavisa","EC","World Cup 2026","Spanish","fail","FAIL_HTTP","59","403","www.ecuavisa.com","62c12fa8895f1794","2026-09-11T02:36:17.527Z"
"El Wataniya","TN","World Cup 2026","Arabic","fail","FAIL_TLS","","","www.wataniya.tn","3a8bda8a61e143a9","2026-09-11T02:36:50.130Z"
"FIFA+","GLOBAL","Public Sports","Multilingual","fail","FAIL_HTTP","390","403","www.plus.fifa.com","703d1e199de2bac4","2026-09-11T02:36:52.466Z"
